id,formatted_address,category,articles,GEOID-CO,GEOID-CT,GEOID-NH,layer,path
Delaware River Trail,"Delaware River, Warren County, New Jersey, 12770, United States of America",river,IGUKRATWKFBDRLS3ZIMCNHIXGM,"34007","10003990100","99002",line,/Users/m/Downloads/vector-data/merge/line.geojson|layername=line
Forbidden Drive,"Forbidden Drive, Roxborough, Philadelphia, Philadelphia County, Pennsylvania, 19128, United States of America",service,FC6XKSRSONBWLOLG7UV2SOUD7M,"42101","42101980100","99014",line,/Users/m/Downloads/vector-data/merge/line.geojson|layername=line
West Fisher Avenue,"West Fisher Avenue, Tabor, Philadelphia, Philadelphia County, Pennsylvania, 19141, United States",residential,"OMWCM4F2RVCH5OUADO7HRWCLJA, OMWCM4F2RVCH5OUADO7HRWCLJA","42101","42101028200","99091",line,/Users/m/Downloads/vector-data/merge/line.geojson|layername=line
Camden ' s Market Street,"South Market Street, LOMA, Wilmington, New Castle County, Delaware, 19801, United States",trunk,OQMDT7LU3BAXXKAZGOCSNSYEGQ,"10003","10003002700",,line,/Users/m/Downloads/vector-data/merge/line.geojson|layername=line
Trenton ' s Hudson Street,"Hudson Street, Trenton, Mercer County, New Jersey, 08611, United States",residential,5AXD4RN7VNFZLE5TDGQHP2YPQ4,"34021","34021000800",,line,/Users/m/Downloads/vector-data/merge/line.geojson|layername=line
Florida high,"Florida, Middle Township, Cape May County, New Jersey, 08252, United States",residential,N2MHSVIHSRE3LCTMGVLIT5UAO4,"34009","34009022102",,line,/Users/m/Downloads/vector-data/merge/line.geojson|layername=line
West Branch Avenue,"West Branch Avenue, Pine Hill, Camden County, New Jersey, 08021, United States of America",tertiary,JZSMHCMRRFH73B5E6IYQGDJ7HM,"34007","34007607801",,line,/Users/m/Downloads/vector-data/merge/line.geojson|layername=line
"Brielle , N . J .","Brielle Avenue, LaCosta Lakes, Egg Harbor Township, Atlantic County, New Jersey, 08234, United States",residential,4LJUJROLTJCERNAS4AKT45PFNA,"34001","34001011802",,line,/Users/m/Downloads/vector-data/merge/line.geojson|layername=line
Whiskey,"Whiskey Run, Springfield Township, Delaware County, Pennsylvania, 19064, United States of America",stream,U3U2NB2VRBB7HACEBNOIIOGROA,"42045","42045407801",,line,/Users/m/Downloads/vector-data/merge/line.geojson|layername=line
Chestnut,"Chestnut, Hilltown Township, Bucks County, Pennsylvania, 18962, United States",residential,"4YPTY2N4ZRBU5CSK3JI57NBAEM, 4YPTY2N4ZRBU5CSK3JI57NBAEM, 4YPTY2N4ZRBU5CSK3JI57NBAEM, 4YPTY2N4ZRBU5CSK3JI57NBAEM, 4YPTY2N4ZRBU5CSK3JI57NBAEM, 4YPTY2N4ZRBU5CSK3JI57NBAEM, 4YPTY2N4ZRBU5CSK3JI57NBAEM","42017","42017102104",,line,/Users/m/Downloads/vector-data/merge/line.geojson|layername=line
